Feature,Importance
AvgTicketsPerDay,0.7064378976347112
DayOfWeek,0.095097105592047
Month,0.08810057286840486
StreetName_Encoded,0.06120194732151782
Season_Encoded,0.0261997542829373
IsWeekend,0.022962722300381804
