Model,Avg RMSE,Std RMSE,Avg MAPE (%),Std MAPE (%)
Naive Baseline,4.23605486294058,1.2909640393325474,140.53600632427205,153.2518664607744
Seasonal Naive,2.688533100278948,0.13827066146971081,88.03789809420428,6.6564189172575885
Poisson Regression,2.7384655687852506,0.11316800579414339,96.0295523534691,6.348937118319764
Random Forest,2.7395185957613735,0.15526848018361147,87.91609586326852,6.895972494563296
